tweet_id,tweet,sentiment,hashtags,subjectivity,polarity
1701,sxswnui sxsw apple define language touch different dialects become smaller,1,sxswnui sxsw apple,0.55,0.0
1851,learn ab google doodle doodle light funny amp innovative exceptions significant occasion googledoodle sxsw,1,googledoodle sxsw,0.89375,0.38125
2689,one face ex steal show yrs mention quot sxsw apple school mkt expes quot link,2,sxsw,0.0,0.0
4525,iphone sxsw app would b pretty awesome crash every mins extend browse fuckit illmakeitwork,0,sxsw fuckit illmakeitwork,1.0,0.625
3604,line outside apple store austin wait new ipad sxsw link,1,sxsw,0.25227272727272726,0.06818181818181818
966,technews one lone dude await ipad apple sxsw store link tech news apple ipad sxsw tablets tech,1,technews tech news apple ipad sxsw tablets tech,0.0,0.0
1395,sxsw tip prince npr videos toy shop zuckerberg link sxsw ipad,1,sxsw ipad,0.0,0.0
8182,nu user mention new ubersocial iphone app store include uberguide sxsw sponsor mashable,1,ubersocial iphone sxsw mashable,0.45454545454545453,0.13636363636363635
8835,free sxsw sampler itunes link freemusic,2,sxsw freemusic,0.8,0.4
883,think might go weekend without see ipad case twice sxsw,2,sxsw,0.0,0.0
6398,mention official sxsw app sxsw go bite ly hmiiga android iphone ipad,3,sxsw android iphone ipad,0.0,0.0
2369,official buy ipad sxsw elevate,2,sxsw elevate,0.0,0.0
3944,give away ipad x box book mention sxsw techenvy,2,sxsw techenvy,0.0,0.0
6909,mention officially sxsw come mention grill mention us w zazzlsxsw get make iphone case,1,sxsw zazzlsxsw,0.0,0.0
7917,company watch sxsw trade show floor link apps feature hardware ipad iphone,1,companies sxsw apps features hardware ipad iphone,0.0,0.0
5849,mention google marissa mayer future location augment reality contextual discovery make smaphones smaer sxsw,1,sxsw,0.125,0.0
1955,dl calyp app get calyp casa sxsw free mobile app available itunes app store amp android market see u,1,calyp calyp sxsw,0.6000000000000001,0.4
1472,well yeah music gt iphone nerds mention god cute girls everywhere love interactive end music begin sxsw,2,sxsw,0.8,0.5
4730,apple open pop store sxsw link via mention apple ipad technology itunes sxsw,1,apple ipad technology itunes sxsw,0.5,0.0
2166,atleast sxsw ipad doubleloser,1,sxsw doubleloser,0.0,0.0
3497,cue choir music sxsw mention apple store sxsw link,1,sxsw,0.0,0.0
