tweet_id,tweet,sentiment,hashtags,subjectivity,polarity,negative,positive,neutral,compound,pos
1701,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.55,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.28247005
 0.65516684 0.         0.         0.62457234 0.         0.24799231
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.19843461 0.         0.         0.         0.        ]"
1851,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.89375,0.38125,0.0,0.409,0.591,0.765,"[0.         0.         0.         0.         0.         0.68193732
 0.         0.         0.         0.70365791 0.         0.19956712
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
2689,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.186,0.0,0.814,-0.4939,"[0.         0.33262479 0.         0.         0.         0.19131262
 0.         0.         0.         0.84602647 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.19211023 0.         0.
 0.         0.         0.31637495 0.         0.         0.        ]"
4525,[0. 0. 0. ... 0. 0. 0.],0,[0. 0. 0. ... 0. 0. 0.],1.0,0.625,0.124,0.415,0.461,0.743,"[0.         0.         0.49367471 0.         0.         0.22881283
 0.         0.         0.40570157 0.60711638 0.         0.20088438
 0.         0.         0.22751063 0.         0.         0.
 0.         0.         0.         0.22976678 0.         0.
 0.         0.16074052 0.         0.         0.         0.        ]"
3604,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.25227272727272726,0.06818181818181818,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.37302546 0.31761152
 0.         0.         0.         0.84272876 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.22312141 0.         0.         0.         0.        ]"
966,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.114,0.076,0.811,-0.1779,"[0.         0.32490349 0.         0.         0.         0.18687164
 0.         0.         0.         0.82638746 0.         0.3281249
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.26255385 0.         0.         0.         0.        ]"
1395,[0.         0.         0.         ... 0.41880603 0.         0.        ],1,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.26456656
 0.         0.         0.         0.93597718 0.         0.23227408
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]"
8182,[0. 0. 0. ... 0. 0. 0.],1,[0. 0. 0. ... 0. 0. 0.],0.45454545454545453,0.13636363636363635,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.         0.65045252
 0.         0.         0.         0.69034657 0.         0.
 0.         0.         0.25870029 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.1827766  0.         0.         0.         0.        ]"
8835,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.8,0.4,0.0,0.398,0.602,0.5106,"[0.         0.         0.         0.         0.         0.57292468
 0.         0.         0.         0.50671977 0.         0.5029946
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.40247835 0.         0.         0.         0.        ]"
883,[0. 0. 0. ... 0. 0. 0.],2,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,1.0,0.0,"[0.         0.         0.         0.         0.33532231 0.14275464
 0.         0.         0.50622843 0.50503391 0.         0.
 0.         0.         0.2838844  0.         0.         0.
 0.         0.         0.         0.2866996  0.43939341 0.
 0.         0.         0.         0.         0.         0.        ]"
